family,run,last_batch,eval_final_reward_last,eval_final_reward_best,best_step,eval_action_ppl_last,n_evals
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_policy_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r-917e498b,59,0.4508,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_policy_last_heldout-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a-cfcdea1b,59,0.3856,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_policy_last_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-ac4a858f,59,0.4459,,,,24
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-swb=0-gs=4-bs=4-s=42-r=0-vr=0,0,,,,,0
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-swb=1-gs=4-bs=4-s=42-r=0-vr=0,0,,,,,0
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-omc=3000-lp=0_15-swb=0-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-omc=3000-lp=0_15-swb=1-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_15-swb=0-gs=4-bs=4-s=42-r=0-vr=0,24,0.405,0.4486,5,,10
act_prm_tau2_airline,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_15-swb=1-gs=4-bs=4-s=42-r=0-vr=0,24,0.4144,0.4207,5,,10
act_prm_tau2_airline,airline_s1relabel_base_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=40-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-swb=-7fc5dfcd,20,0.4003,0.4018,10,,2
